"action_type","type","id","visible","version","changeset","timestamp","user","uid","lat","lon"
"modify","way","158381357",TRUE,14,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","32912389",TRUE,23,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"create","node","13121271333",TRUE,1,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2069925","4.3965074"
"create","node","13121271334",TRUE,1,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2072550","4.3973198"
"create","node","13121271335",TRUE,1,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2072356","4.3973361"
"modify","node","1705928627",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2069303","4.3965572"
"modify","node","2205925497",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2069723","4.3965243"
"modify","node","2205925499",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070128","4.3965728"
"modify","node","2205925500",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070207","4.3966027"
"modify","node","2205925501",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070316","4.3966368"
"modify","node","2205925502",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070466","4.3966772"
"modify","node","2205925507",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070918","4.3968174"
"modify","node","2205925508",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2071006","4.3968500"
"modify","node","2205925510",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2071115","4.3968841"
"modify","node","2205925511",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2071258","4.3969214"
"modify","node","11511200198",TRUE,2,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070340","4.3966866"
"modify","node","2205925498",TRUE,3,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070000","4.3965814"
"modify","node","2205925506",TRUE,3,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2070787","4.3968283"
"modify","node","2205925509",TRUE,3,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2071127","4.3969323"
"modify","node","2205925512",TRUE,3,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2072453","4.3973279"
"modify","way","210508304",TRUE,6,"171500865",2025-09-05 14:03:12,"multimob","14088321",NA,NA
"modify","node","203827065",TRUE,9,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2069466","4.3965453"
"modify","node","2205844970",TRUE,14,"171500865",2025-09-05 14:03:12,"multimob","14088321","51.2069628","4.3965335"
"modify","relation","10409861",TRUE,31,"171500865",2025-09-05 14:03:12,"multimob","14088321",NA,NA
"create","node","13121284445",TRUE,1,"171500586",2025-09-05 13:56:57,"multimob","14088321","51.2075724","4.3979751"
"create","node","13121284446",TRUE,1,"171500586",2025-09-05 13:56:57,"multimob","14088321","51.2075431","4.3979759"
